前書き,,
,,
始めよう,,
変数,,
整数と浮動小数点数,[Numeric Comparisons],数値の比較
,[Interpolation],式展開
,[`RoundNearest`],最近接丸め
算術演算と初等関数,[Short-Circuit Evaluation],短絡評価
,[Rounding functions],
,[Mathematical Operations and Elementary Functions],算術演算子と初等関数
複素数と有理数,[Elementary Functions],初等関数
,[Special floating-point values],特殊な浮動小数点数の値
文字列, [non-standard string literals],非標準文字列リテラル
関数,[Compound Expressions],複合式
,[Type Declarations],型宣言
,[Short-Circuit Evaluation],短絡評価
,[Parametrically-constrained Varargs methods],パラメータ制限つきの可変引数メソッド
,[Note on Optional and keyword Arguments],オプション引数・キーワード引数に関する注記
,[Control Flow],制御フロー
,[Broadcasting],ブロードキャスティング
,[Pre-allocating outputs],出力の事前割り当て
制御フロー,[Exception Handling],例外処理
,[`Task`],タスク
,[Mathematical Operations and Elementary Functions],算術演算子と初等関数
,[Parallel Computing],並列コンピューティング
